School_No,School_Name,Education_Sector,School_Type,Address_Line_1,Address_Town,Address_Postcode,Region,Area,LGA_Name,X,Y,Distance_km_from_Melbourne_Connect,Map_Category_Sector,Map_Category_Type,Map_Category_Area,Map_Category_Suburb,Website_For_Popup,Logo_Image_URL,Logo_Status_For_Popup
6243,Pakenham Consolidated School,Government,Primary,2 Rundell Way,Pakenham,3810,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.464663,-38.065371,52.88,Government,Primary,Southern Melbourne,Pakenham,,,
5370,Pakenham Hills Primary School,Government,Primary,15 Kennedy Road,Pakenham,3810,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.494421,-38.060626,54.78,Government,Primary,Southern Melbourne,Pakenham,,,
5504,Pakenham Lakeside Primary School,Government,Primary,23 Shearwater Drive,Pakenham,3810,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.438998,-38.068457,51.22,Government,Primary,Southern Melbourne,Pakenham,,,
5527,Pakenham Primary School,Government,Primary,50 Atlantic Drive,Pakenham,3810,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.5108401,-38.06393707,56.20,Government,Primary,Southern Melbourne,Pakenham,,,
8223,Pakenham Secondary College,Government,Secondary,1020 Princes Highway,Pakenham,3810,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.471002,-38.068997,53.56,Government,Secondary,Southern Melbourne,Pakenham,,,
5507,Pakenham Springs Primary School,Government,Primary,5 Livingstone Boulevard,Pakenham,3810,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.470076,-38.084508,54.47,Government,Primary,Southern Melbourne,Pakenham,,,
5591,Quarters Primary School,Government,Primary,10 Morningside Boulevard,Cranbourne West,3977,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.250168,-38.09481,41.26,Government,Primary,Southern Melbourne,Cranbourne West,,,
5581,Ramlegh Park Primary School,Government,Primary,34S Thoroughbred Drive,Clyde North,3978,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.338275,-38.114885,47.96,Government,Primary,Southern Melbourne,Clyde North,,,
5232,Rangebank Primary School,Government,Primary,14-36 Lesdon Avenue,Cranbourne,3977,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.276217,-38.087362,42.05,Government,Primary,Southern Melbourne,Cranbourne,,,
1737,Resurrection School,Catholic,Primary,402 Corrigan Road,Keysborough,3173,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.16293,-37.989944,27.38,Catholic,Primary,Southern Melbourne,Keysborough,,,
5130,River Gum Primary School,Government,Primary,63 Fordholm Road,Hampton Park,3976,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.260507,-38.034654,36.82,Government,Primary,Southern Melbourne,Hampton Park,,,
5087,Rosewood Downs Primary School,Government,Primary,25 Murray Road,Dandenong North,3175,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.213459,-37.944112,27.11,Government,Primary,Southern Melbourne,Dandenong North,,,
2246,Sidrah Gardens School,Independent,Primary,434-442 Belgrave-Hallam Road,Narre Warren North,3804,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.315888,-37.973241,36.37,Independent,Primary,Southern Melbourne,Narre Warren North,,,
5120,Silverton Primary School,Government,Primary,77-123 Jacksons Road,Noble Park North,3174,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.192882,-37.949229,26.03,Government,Primary,Southern Melbourne,Noble Park North,,,
5235,Southern Cross Primary School,Government,Primary,1-21 David Collins Drive,Endeavour Hills,3802,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.264412,-37.988234,33.63,Government,Primary,Southern Melbourne,Endeavour Hills,,,
5538,Spring Parks Primary School,Government,Primary,24 Erica Street,Springvale,3171,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.139507,-37.958843,23.41,Government,Primary,Southern Melbourne,Springvale,,,
5164,Springvale Park Special Developmental School,Government,Special,13-15 Sandown Road,Springvale,3171,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.1543122,-37.94935521,23.53,Government,Special,Southern Melbourne,Springvale,,,
5537,Springvale Rise Primary School,Government,Primary,32-52 Wareham Street,Springvale,3171,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.159045,-37.939258,23.06,Government,Primary,Southern Melbourne,Springvale,,,
1736,St Agatha's School,Catholic,Primary,Scott Street,Cranbourne,3977,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.278852,-38.111642,44.28,Catholic,Primary,Southern Melbourne,Cranbourne,,,
1530,St Anthony's School,Catholic,Primary,90 Buckley Street,Noble Park,3174,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.172427,-37.97171,26.41,Catholic,Primary,Southern Melbourne,Noble Park,,,
2067,St Brigid's School,Catholic,Primary,25 Bayview Road,Officer,3809,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.405667,-38.054618,47.95,Catholic,Primary,Southern Melbourne,Officer,,,
1956,St Catherine's Primary School,Catholic,Primary,73 Ridgemont Drive,Berwick,3806,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.3369472,-38.06977499,44.35,Catholic,Primary,Southern Melbourne,Berwick,,,
2095,St Clare's Primary School,Catholic,Primary,95 Majestic Drive,Officer,3809,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.4327127,-38.06277462,50.41,Catholic,Primary,Southern Melbourne,Officer,,,
1762,St Elizabeth's School,Catholic,Primary,111 Bakers Road,Dandenong North,3175,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.198878,-37.946321,26.24,Catholic,Primary,Southern Melbourne,Dandenong North,,,
1766,St Francis Xavier College,Catholic,Secondary,4 Beaconsfield Avenue,Beaconsfield,3807,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.373106,-38.052002,45.50,Catholic,Secondary,Southern Melbourne,Beaconsfield,,,
2068,St Francis de Sales Catholic Primary School,Catholic,Primary,122 Paterson Drive,Lynbrook,3975,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.252476,-38.059012,38.31,Catholic,Primary,Southern Melbourne,Lynbrook,,,
1566,St Gerard's School,Catholic,Primary,71 Gladstone Road,Dandenong North,3175,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.205824,-37.971329,28.49,Catholic,Primary,Southern Melbourne,Dandenong North,,,
1015,St James School,Catholic,Primary,60 Nar Nar Goon Road,Nar Nar Goon,3812,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.5731875,-38.07303246,61.42,Catholic,Primary,Southern Melbourne,Nar Nar Goon,,,
1416,St John the Baptist's School,Catholic,Primary,Station Street,Koo Wee Rup,3981,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.485268,-38.197464,63.53,Catholic,Primary,Southern Melbourne,Koo Wee Rup,,,
1588,St John's Regional College,Catholic,Secondary,5-11 Caroline Street,Dandenong,3175,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.226256,-37.990229,31.23,Catholic,Secondary,Southern Melbourne,Dandenong,,,
1429,St Joseph's School,Catholic,Primary,33 St John's Avenue,Springvale,3171,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.150344,-37.953229,23.59,Catholic,Primary,Southern Melbourne,Springvale,,,
2260,St Josephine Bakhita Catholic Primary School,Catholic,Primary,40 Wild Goose Way,Clyde North,3978,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.364334,-38.111297,49.27,Catholic,Primary,Southern Melbourne,Clyde North,,,
1918,St Kevin's School,Catholic,Primary,120 Hallam Road,Hampton Park,3976,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.2674,-38.039316,37.61,Catholic,Primary,Southern Melbourne,Hampton Park,,,
1316,St Margaret’s Berwick Grammar,Independent,Pri/Sec,27-47 Gloucester Ave,Berwick,3806,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.346545,-38.035346,42.53,Independent,Pri/Sec,Southern Melbourne,Berwick,,,
935,St Mary's School,Catholic,Primary,20-24 New Street,Dandenong,3175,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.220836,-37.990671,30.92,Catholic,Primary,Southern Melbourne,Dandenong,,,
1624,St Michael's School,Catholic,Primary,16 Scanlan Street,Berwick,3806,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.353572,-38.033824,42.91,Catholic,Primary,Southern Melbourne,Berwick,,,
386,St Patrick's School,Catholic,Primary,136 Princes Highway,Pakenham,3810,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.4745267,-38.06938466,53.84,Catholic,Primary,Southern Melbourne,Pakenham,,,
1897,St Paul Apostle North School,Catholic,Primary,76 Mossgiel Park Drive,Endeavour Hills,3802,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.262664,-37.967529,32.13,Catholic,Primary,Southern Melbourne,Endeavour Hills,,,
1820,St Paul Apostle South School,Catholic,Primary,9 William Hovell Drive,Endeavour Hills,3802,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.257929,-37.980524,32.66,Catholic,Primary,Southern Melbourne,Endeavour Hills,,,
1920,St Peter's College,Catholic,Secondary,1005 Cranbourne-Frankston Road,Cranbourne,3977,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.256866,-38.108411,42.82,Catholic,Secondary,Southern Melbourne,Cranbourne,,,
1926,St Therese's School,Catholic,Primary,131 Endeavour Drive,Cranbourne,3977,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.267244,-38.07727,40.69,Catholic,Primary,Southern Melbourne,Cranbourne,,,
1966,St Thomas Aquinas College,Independent,Pri/Sec,1 Tynong Road,Tynong,3813,SOUTH-EASTERN VICTORIA,Southern Melbourne,Cardinia (S),145.6236872,-38.08322193,65.84,Independent,Pri/Sec,Southern Melbourne,Tynong,,,
2090,St Thomas the Apostle Catholic Primary School,Catholic,Primary,Enter via Mac Killop Way,Cranbourne East,3977,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.317042,-38.116173,46.81,Catholic,Primary,Southern Melbourne,Cranbourne East,,,
5463,Strathaird Primary School,Government,Primary,20 Sherwood Road,Narre Warren South,3805,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.28692,-38.06312,40.69,Government,Primary,Southern Melbourne,Narre Warren South,,,
5294,Thomas Mitchell Primary School,Government,Primary,67-77 Thomas Mitchell Drive,Endeavour Hills,3802,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.27391,-37.980562,33.78,Government,Primary,Southern Melbourne,Endeavour Hills,,,
5479,Timbarra P-9 College,Government,Pri/Sec,159-197 Parkhill Drive,Berwick,3806,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.3226276,-38.01557462,39.53,Government,Pri/Sec,Southern Melbourne,Berwick,,,
1503,Tooradin Primary School,Government,Primary,Bayview Road,Tooradin,3980,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.378493,-38.207631,58.06,Government,Primary,Southern Melbourne,Tooradin,,,
5598,Topirum Primary School,Government,Primary,451 Hardys Road,Clyde North,3978,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.384694,-38.108902,50.37,Government,Primary,Southern Melbourne,Clyde North,,,
1993,Trinity Catholic Primary School,Catholic,Primary,103-129 Oak Grove Drive,Narre Warren South,3805,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.297985,-38.055386,40.77,Catholic,Primary,Southern Melbourne,Narre Warren South,,,
5553,Tulliallan Primary School,Government,Primary,89 Wheelers Park Drive,Cranbourne North,3977,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.327335,-38.0816,44.65,Government,Primary,Southern Melbourne,Cranbourne North,,,
5609,Turrun Primary School,Government,Primary,60 Macumba Drive,Clyde North,3978,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.353099,-38.082509,46.35,Government,Primary,Southern Melbourne,Clyde North,,,
5055,Wallarano Primary School,Government,Primary,38-64 Wallarano Drive,Noble Park,3174,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.170823,-37.979621,26.96,Government,Primary,Southern Melbourne,Noble Park,,,
5558,Wilandra Rise Primary School,Government,Primary,25 Aayana Street,Clyde North,3978,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.319813,-38.108927,46.38,Government,Primary,Southern Melbourne,Clyde North,,,
4989,Wooranna Park Primary School,Government,Primary,89-105 Carlton Road,Dandenong,3175,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.216358,-37.960245,28.40,Government,Primary,Southern Melbourne,Dandenong,,,
7724,Wulerrp Secondary College,Government,Secondary,560 Soldiers Road,Clyde North,3978,SOUTH-EASTERN VICTORIA,Southern Melbourne,Casey (C),145.36665,-38.091026,47.87,Government,Secondary,Southern Melbourne,Clyde North,,,
4807,Yarraman Oaks Primary School,Government,Primary,27 Liege Avenue,Noble Park,3174,SOUTH-EASTERN VICTORIA,Southern Melbourne,Greater Dandenong (C),145.191525,-37.970289,27.49,Government,Primary,Southern Melbourne,Noble Park,,,
4220,Aberfeldie Primary School,Government,Primary,1 Doone Street,Aberfeldie,3040,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.894774,-37.756488,7.80,Government,Primary,Western Melbourne,Aberfeldie,,,
1906,Al-Taqwa College,Independent,Pri/Sec,201 Sayers Road,Truganina,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.722023,-37.85265,22.07,Independent,Pri/Sec,Western Melbourne,Truganina,,,
5528,Alamanda K-9 College,Government,Pri/Sec,86-100 Alamanda Boulevard,Point Cook,3030,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.741329,-37.908238,22.97,Government,Pri/Sec,Western Melbourne,Point Cook,,,
8857,Altona College,Government,Pri/Sec,103A Grieve Parade,Altona,3018,SOUTH-WESTERN VICTORIA,Western Melbourne,Hobsons Bay (C),144.818639,-37.861911,14.52,Government,Pri/Sec,Western Melbourne,Altona,,,
5287,Altona Green Primary School,Government,Primary,240 - 248 Victoria Street,Altona Meadows,3028,SOUTH-WESTERN VICTORIA,Western Melbourne,Hobsons Bay (C),144.784916,-37.886773,18.47,Government,Primary,Western Melbourne,Altona Meadows,,,
5172,Altona Meadows Primary School,Government,Primary,78-88 Alma Avenue,Altona Meadows,3028,SOUTH-WESTERN VICTORIA,Western Melbourne,Hobsons Bay (C),144.779729,-37.868687,17.91,Government,Primary,Western Melbourne,Altona Meadows,,,
4931,Altona North Primary School,Government,Primary,51 Cresser Street,Altona North,3025,SOUTH-WESTERN VICTORIA,Western Melbourne,Hobsons Bay (C),144.849169,-37.836977,10.91,Government,Primary,Western Melbourne,Altona North,,,
3923,Altona Primary School,Government,Primary,109 Blyth Street,Altona,3018,SOUTH-WESTERN VICTORIA,Western Melbourne,Hobsons Bay (C),144.822742,-37.867708,14.53,Government,Primary,Western Melbourne,Altona,,,
1648,Annunciation School,Catholic,Primary,4-14 Nolan Avenue,Brooklyn,3012,SOUTH-WESTERN VICTORIA,Western Melbourne,Hobsons Bay (C),144.847959,-37.820989,10.48,Catholic,Primary,Western Melbourne,Brooklyn,,,
5109,Ascot Vale Heights School,Government,Special,1 Tasma Street,Ascot Vale,3032,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.932355,-37.776821,3.82,Government,Special,Western Melbourne,Ascot Vale,,,
2608,Ascot Vale Primary School,Government,Primary,Bank Street,Ascot Vale,3032,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.926119,-37.774322,4.41,Government,Primary,Western Melbourne,Ascot Vale,,,
4025,Ascot Vale West Primary School,Government,Primary,8 Langs Rd,Ascot Vale,3032,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.911125,-37.78068,5.15,Government,Primary,Western Melbourne,Ascot Vale,,,
2253,Australian Islamic Centre College,Independent,Primary,23-27 Blenheim Road,Newport,3015,SOUTH-WESTERN VICTORIA,Western Melbourne,Hobsons Bay (C),144.862472,-37.8465,10.33,Independent,Primary,Western Melbourne,Newport,,,
1625,Ave Maria College,Catholic,Secondary,14-22 Vida Street,Aberfeldie,3040,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.897964,-37.756618,7.57,Catholic,Secondary,Western Melbourne,Aberfeldie,,,
4812,Avondale Primary School,Government,Primary,24 Wood Street,Avondale Heights,3034,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.860851,-37.767841,9.77,Government,Primary,Western Melbourne,Avondale Heights,,,
5315,Baden Powell P-9 College,Government,Pri/Sec,31 Sycamore Street,Hoppers Crossing,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.691019,-37.859838,24.90,Government,Pri/Sec,Western Melbourne,Hoppers Crossing,,,
5614,Barayip Primary School,Government,Primary,290 Hummingbird Boulevard,Tarneit,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.640016,-37.834882,28.75,Government,Primary,Western Melbourne,Tarneit,,,
8800,Bayside P-12 College,Government,Pri/Sec,29-69 Kororoit Creek Road,Williamstown,3016,SOUTH-WESTERN VICTORIA,Western Melbourne,Hobsons Bay (C),144.8852138,-37.85770007,9.45,Government,Pri/Sec,Western Melbourne,Williamstown,,,
5254,Bellbridge Primary School,Government,Primary,120 Bellbridge Drive,Hoppers Crossing,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.71078,-37.871082,23.62,Government,Primary,Western Melbourne,Hoppers Crossing,,,
8396,Bemin Secondary College,Government,Secondary,805 Morris Road,Truganina,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.709748,-37.826407,22.55,Government,Secondary,Western Melbourne,Truganina,,,
1945,Bethany Catholic Primary School,Catholic,Primary,80 Thames Boulevard,Werribee North,3030,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.658661,-37.875586,28.12,Catholic,Primary,Western Melbourne,Werribee North,,,
7645,Braybrook College,Government,Secondary,352 Ballarat Road,Braybrook,3019,SOUTH-WESTERN VICTORIA,Western Melbourne,Maribyrnong (C),144.847537,-37.778257,10.54,Government,Secondary,Western Melbourne,Braybrook,,,
8292,Brinbeal Secondary College,Government,Secondary,2 Connaught Road,Tarneit,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.643456,-37.853585,28.80,Government,Secondary,Western Melbourne,Tarneit,,,
7670,Buckley Park College,Government,Secondary,59-99 Cooper Street,Essendon,3040,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.897755,-37.747117,8.30,Government,Secondary,Western Melbourne,Essendon,,,
5312,Cambridge Primary School,Government,Primary,Carruthers Drive,Hoppers Crossing,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.675695,-37.867389,26.43,Government,Primary,Western Melbourne,Hoppers Crossing,,,
2605,Carlton Gardens Primary School,Government,Primary,215 Rathdowne Street,Carlton,3053,SOUTH-WESTERN VICTORIA,Western Melbourne,Melbourne (C),144.969512,-37.802047,0.51,Government,Primary,Western Melbourne,Carlton,,,
4980,Carlton Primary School,Government,Primary,150 Palmerston Street,Carlton,3053,SOUTH-WESTERN VICTORIA,Western Melbourne,Melbourne (C),144.97045,-37.795602,0.74,Government,Primary,Western Melbourne,Carlton,,,
1801,Caroline Chisholm Catholic College,Catholic,Secondary,204 Churchill Avenue,Braybrook,3019,SOUTH-WESTERN VICTORIA,Western Melbourne,Maribyrnong (C),144.8501,-37.785858,10.16,Catholic,Secondary,Western Melbourne,Braybrook,,,
5486,Carranballac P-9 College,Government,Pri/Sec,Cnr Foxwood Dve & Dunnings Rd,Point Cook,3030,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.743132,-37.884736,21.58,Government,Pri/Sec,Western Melbourne,Point Cook,,,
330,Christ Church Grammar School,Independent,Primary,677 Punt Road,South Yarra,3141,SOUTH-WESTERN VICTORIA,Western Melbourne,Melbourne (C),144.985738,-37.838952,4.71,Independent,Primary,Western Melbourne,South Yarra,,,
1543,Christ the King Primary School,Catholic,Primary,28 Riley Court,Braybrook,3019,SOUTH-WESTERN VICTORIA,Western Melbourne,Maribyrnong (C),144.86196,-37.787611,9.10,Catholic,Primary,Western Melbourne,Braybrook,,,
1466,Corpus Christi School,Catholic,Primary,380 Geelong Road,Kingsville,3012,SOUTH-WESTERN VICTORIA,Western Melbourne,Maribyrnong (C),144.872915,-37.808532,8.08,Catholic,Primary,Western Melbourne,Kingsville,,,
1898,Corpus Christi School,Catholic,Primary,29  Russell Street,Werribee,3030,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.6634428,-37.90994759,29.10,Catholic,Primary,Western Melbourne,Werribee,,,
5505,Davis Creek Primary School,Government,Primary,65 Wootten Road,Tarneit,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.660236,-37.855876,27.42,Government,Primary,Western Melbourne,Tarneit,,,
5068,Debney Meadows Primary School,Government,Primary,100 Victoria Street,Flemington,3031,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.935148,-37.785985,3.00,Government,Primary,Western Melbourne,Flemington,,,
5450,Dinjerra Primary School,Government,Primary,44 South Road,Braybrook,3019,SOUTH-WESTERN VICTORIA,Western Melbourne,Maribyrnong (C),144.856117,-37.791693,9.55,Government,Primary,Western Melbourne,Braybrook,,,
5573,Docklands Primary School,Government,Primary,17 Little Docklands Drive,Docklands,3008,SOUTH-WESTERN VICTORIA,Western Melbourne,Melbourne (C),144.940553,-37.812714,2.51,Government,Primary,Western Melbourne,Docklands,,,
8397,Dohertys Creek P-9 College,Government,Pri/Sec,60 Elmhurst Road,Truganina,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.733911,-37.842976,20.79,Government,Pri/Sec,Western Melbourne,Truganina,,,
1654,Emmanuel College,Catholic,Secondary,423 Blackshaws Road,Altona North,3025,SOUTH-WESTERN VICTORIA,Western Melbourne,Hobsons Bay (C),144.842389,-37.831623,11.27,Catholic,Secondary,Western Melbourne,Altona North,,,
8806,Essendon Keilor College,Government,Secondary,Quinn Grove,Keilor East,3033,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.8697108,-37.73970794,10.69,Government,Secondary,Western Melbourne,Keilor East,,,
4015,Essendon North Primary School,Government,Primary,112 Keilor Road,Essendon North,3041,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.903193,-37.741516,8.44,Government,Primary,Western Melbourne,Essendon North,,,
483,Essendon Primary School,Government,Primary,38 Raleigh Street,Essendon,3040,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.921042,-37.753095,6.46,Government,Primary,Western Melbourne,Essendon,,,
8899,Featherbrook P-9 College,Government,Pri/Sec,281 Boardwalk Boulevard,Point Cook,3030,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.7275192,-37.90163614,23.66,Government,Pri/Sec,Western Melbourne,Point Cook,,,
250,Flemington Primary School,Government,Primary,Cnr Mt Alexander Rd & Padman Lane,Flemington,3031,SOUTH-WESTERN VICTORIA,Western Melbourne,Moonee Valley (C),144.933923,-37.780674,3.43,Government,Primary,Western Melbourne,Flemington,,,
1912,Footscray City Primary School,Government,Primary,10 Hyde Street,Footscray,3011,SOUTH-WESTERN VICTORIA,Western Melbourne,Maribyrnong (C),144.900253,-37.8064,5.67,Government,Primary,Western Melbourne,Footscray,,,
7842,Footscray High School,Government,Secondary,1 Kinnear Street,Footscray,3011,SOUTH-WESTERN VICTORIA,Western Melbourne,Maribyrnong (C),144.8937633,-37.79104291,6.28,Government,Secondary,Western Melbourne,Footscray,,,
4160,Footscray North Primary School,Government,Primary,14 Rosamond Road,Footscray,3011,SOUTH-WESTERN VICTORIA,Western Melbourne,Maribyrnong (C),144.883372,-37.787746,7.24,Government,Primary,Western Melbourne,Footscray,,,
253,Footscray Primary School,Government,Primary,100 Geelong Road,Footscray,3011,SOUTH-WESTERN VICTORIA,Western Melbourne,Maribyrnong (C),144.892669,-37.798383,6.30,Government,Primary,Western Melbourne,Footscray,,,
3890,Footscray West Primary School,Government,Primary,17 Argyle Street,West Footscray,3012,SOUTH-WESTERN VICTORIA,Western Melbourne,Maribyrnong (C),144.875267,-37.794867,7.84,Government,Primary,Western Melbourne,West Footscray,,,
5574,Garrang Wilam Primary School,Government,Primary,2 Canvas Street,Truganina,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.72505,-37.828778,21.26,Government,Primary,Western Melbourne,Truganina,,,
1957,Good News Lutheran College,Independent,Pri/Sec,580 Tarneit Road,Tarneit,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.666605,-37.855248,26.86,Independent,Pri/Sec,Western Melbourne,Tarneit,,,
1846,Heathdale Christian College,Independent,Pri/Sec,175 Derrimut Rd,Werribee,3030,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.681332,-37.881318,26.44,Independent,Pri/Sec,Western Melbourne,Werribee,,,
2113,Hester Hornbrook Academy,Independent,Special,"Level 8, 601 Bourke Street",Melbourne,3000,SOUTH-EASTERN VICTORIA,Western Melbourne,Port Phillip (C),144.95615,-37.816544,1.96,Independent,Special,Western Melbourne,Melbourne,,,
2024,Holmes Grammar School,Independent,Secondary,185 Spring Street,Melbourne,3000,SOUTH-WESTERN VICTORIA,Western Melbourne,Melbourne (C),144.972271,-37.810302,1.33,Independent,Secondary,Western Melbourne,Melbourne,https://www.holmesgrammar.vic.edu.au/,https://cdn.prod.website-files.com/678d9ca358a88efae5ca716e/67902137aa4fe63ad74179f9_Holmes%20Grammar%20School%20Logo_Horizontal.png,Required for nearest-six secondary school
1033,Holy Rosary School,Catholic,Primary,37 Gower Street,Kensington,3031,SOUTH-WESTERN VICTORIA,Western Melbourne,Melbourne (C),144.92878,-37.795584,3.16,Catholic,Primary,Western Melbourne,Kensington,,,
8246,Homestead Senior Secondary College,Government,Secondary,9 Coaching Parade,Point Cook,3030,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.768584,-37.915734,21.46,Government,Secondary,Western Melbourne,Point Cook,,,
8710,Hoppers Crossing Secondary College,Government,Secondary,2 Fraser Street,Hoppers Crossing,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.695358,-37.871223,24.91,Government,Secondary,Western Melbourne,Hoppers Crossing,,,
5152,Iramoo Primary School,Government,Primary,261 - 269 Mcgrath Road,Wyndham Vale,3024,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.628567,-37.895871,31.34,Government,Primary,Western Melbourne,Wyndham Vale,,,
2073,Islamic College of Melbourne,Independent,Pri/Sec,83 Wootten Road,Tarneit,3029,SOUTH-WESTERN VICTORIA,Western Melbourne,Wyndham (C),144.660376,-37.854236,27.36,Independent,Pri/Sec,Western Melbourne,Tarneit,,,
5215,Jennings Street School,Government,Special,4 Jennings Street,Laverton,3028,SOUTH-WESTERN VICTORIA,Western Melbourne,Hobsons Bay (C),144.773634,-37.85635,17.88,Government,Special,Western Melbourne,Laverton,,,
