School_No,School_Name,Education_Sector,School_Type,Address_Line_1,Address_Town,Address_Postcode,Region,Area,LGA_Name,X,Y,Distance_km_from_Melbourne_Connect,Map_Category_Sector,Map_Category_Type,Map_Category_Area,Map_Category_Suburb,Website_For_Popup,Logo_Image_URL,Logo_Status_For_Popup
1592,Emmaus College,Catholic,Pri/Sec,503 Springvale Road,Vermont South,3133,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.174107,-37.84779,19.18,Catholic,Pri/Sec,Inner Eastern Melbourne,Vermont South,,,
1952,Erasmus Primary School,Independent,Primary,40 Lisson Grove,Hawthorn,3122,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.031327,-37.827083,6.61,Independent,Primary,Inner Eastern Melbourne,Hawthorn,,,
4903,Essex Heights Primary School,Government,Primary,22 - 30 Essex Road,Mount Waverley,3149,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.115635,-37.862991,15.02,Government,Primary,Inner Eastern Melbourne,Mount Waverley,,,
385,Fintona Girls' School,Independent,Pri/Sec,79 Balwyn Road,Balwyn,3103,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.080326,-37.815158,10.33,Independent,Pri/Sec,Inner Eastern Melbourne,Balwyn,,,
8724,Forest Hill College,Government,Secondary,178-180 Mahoneys Road,Burwood East,3151,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.163728,-37.848519,18.33,Government,Secondary,Inner Eastern Melbourne,Burwood East,,,
1852,Frank Dando Sports Academy,Independent,Special,33 Raymond Street,Ashwood,3147,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.108886,-37.8668,14.71,Independent,Special,Inner Eastern Melbourne,Ashwood,,,
733,Genazzano FCJ College,Catholic,Pri/Sec,301 Cotham Road,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.055783,-37.808973,8.10,Catholic,Pri/Sec,Inner Eastern Melbourne,Kew,,,
2105,Giant Steps Melbourne,Independent,Special,11 Malmsbury Street,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.031476,-37.80222,5.91,Independent,Special,Inner Eastern Melbourne,Kew,,,
1148,Glen Iris Primary School,Government,Primary,170 Glen Iris Road,Glen Iris,3146,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.065894,-37.860483,11.17,Government,Primary,Inner Eastern Melbourne,Glen Iris,,,
5425,Glen Waverley Primary School,Government,Primary,774 High Street Road,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.167589,-37.874716,19.69,Government,Primary,Inner Eastern Melbourne,Glen Waverley,,,
8808,Glen Waverley Secondary College,Government,Secondary,13-21 O'Sullivan Road,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.162106,-37.878098,19.42,Government,Secondary,Inner Eastern Melbourne,Glen Waverley,,,
5436,Glen Waverley South Primary School,Government,Primary,Whites Lane,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.1676109,-37.89685885,20.84,Government,Primary,Inner Eastern Melbourne,Glen Waverley,,,
4968,Glenallen School,Government,Special,7 Allen Street,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.1617465,-37.8883595,19.92,Government,Special,Inner Eastern Melbourne,Glen Waverley,,,
5010,Glendal Primary School,Government,Primary,55 Nottingham Street,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.159037,-37.867082,18.65,Government,Primary,Inner Eastern Melbourne,Glen Waverley,,,
