id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,Custom Field:Education Sector,Custom Field:School Type,Custom Field:Area,Custom Field:Suburb,Custom Field:Nearest Six Secondary,Custom Field:Distance from Melbourne Connect
901714,2,"1660 Main Road, Research, 3095",<div><strong>Education sector:</strong> Independent</div><div><strong>School type:</strong> Pri/Sec</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Research</div><div><strong>Distance from Melbourne Connect:</strong> 22.90 km</div>,,,,-37.70044311,145.192232,0,Eltham College,0,,1,0,Independent,Pri/Sec,North Eastern Melbourne,Research,No,22.90
904897,2,"16 Grove Street, Eltham, 3095",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Eltham</div><div><strong>Distance from Melbourne Connect:</strong> 19.44 km</div>,,,,-37.711432,145.154861,0,Eltham East Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Eltham,No,19.44
907805,2,"30-60 Withers Way, Eltham, 3095",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Eltham</div><div><strong>Distance from Melbourne Connect:</strong> 17.72 km</div>,,,,-37.724436,145.141725,0,Eltham High School,0,,1,0,Government,Secondary,North Eastern Melbourne,Eltham,No,17.72
904212,2,"35-47 Wattletree Road, Eltham North, 3095",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Eltham North</div><div><strong>Distance from Melbourne Connect:</strong> 19.82 km</div>,,,,-37.70011091,145.1508655,0,Eltham North Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Eltham North,No,19.82
900209,2,"Dalton Street, Eltham, 3095",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Eltham</div><div><strong>Distance from Melbourne Connect:</strong> 18.17 km</div>,,,,-37.72498353,145.1478042,0,Eltham Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Eltham,No,18.17
905551,2,"805 High Street, Epping, 3076",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Epping</div><div><strong>Distance from Melbourne Connect:</strong> 18.09 km</div>,,,,-37.64485061,145.0255944,0,Epping Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Epping,No,18.09
907813,2,"Mcdonalds Road, Epping, 3076",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Epping</div><div><strong>Distance from Melbourne Connect:</strong> 18.39 km</div>,,,,-37.644001,145.033426,0,Epping Secondary College,0,,1,0,Government,Secondary,North Eastern Melbourne,Epping,No,18.39
905513,2,"20 Mansfield Street, Epping, 3076",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Epping</div><div><strong>Distance from Melbourne Connect:</strong> 19.80 km</div>,,,,-37.628439,145.024015,0,Epping Views Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Epping,No,19.80
902711,2,"Langridge Street, Fairfield, 3078",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Fairfield</div><div><strong>Distance from Melbourne Connect:</strong> 5.51 km</div>,,,,-37.777993,145.020401,0,Fairfield Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Fairfield,No,5.51
905244,2,"Cuthbert Drive, Mill Park, 3082",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Mill Park</div><div><strong>Distance from Melbourne Connect:</strong> 16.70 km</div>,,,,-37.66649725,145.0510724,0,Findon Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Mill Park,No,16.70
901819,2,"597 Brunswick Street, Fitzroy North, 3068",<div><strong>Education sector:</strong> Independent</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Fitzroy North</div><div><strong>Distance from Melbourne Connect:</strong> 1.83 km</div>,,,,-37.789173,144.97981,0,Fitzroy Community School,0,,1,0,Independent,Primary,North Eastern Melbourne,Fitzroy North,No,1.83
908742,2,"24-30 Falconer Street, Fitzroy North, 3068",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Fitzroy North</div><div><strong>Distance from Melbourne Connect:</strong> 2.65 km</div>,,,,-37.784911,144.987476,0,Fitzroy High School,0,,1,0,Government,Secondary,North Eastern Melbourne,Fitzroy North,No,2.65
901490,2,"Fergie Street, Fitzroy North, 3068",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Fitzroy North</div><div><strong>Distance from Melbourne Connect:</strong> 2.42 km</div>,,,,-37.78502,144.984149,0,Fitzroy North Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Fitzroy North,No,2.42
900450,2,"319 George Street, Fitzroy, 3065",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Fitzroy</div><div><strong>Distance from Melbourne Connect:</strong> 1.51 km</div>,,,,-37.799603,144.981511,0,Fitzroy Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Fitzroy,No,1.51
905260,2,"39 Calendonia Drive, Eltham North, 3095",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Eltham North</div><div><strong>Distance from Melbourne Connect:</strong> 19.70 km</div>,,,,-37.689982,145.139837,0,Glen Katherine Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Eltham North,No,19.70
902226,2,"10 Baltrum Drive, Wollert, 3750",<div><strong>Education sector:</strong> Catholic</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Wollert</div><div><strong>Distance from Melbourne Connect:</strong> 21.33 km</div>,,,,-37.615822,145.031776,0,Glowrey Catholic Primary School,0,,1,0,Catholic,Primary,North Eastern Melbourne,Wollert,No,21.33
904893,2,"29 Mine Street, Greensborough, 3088",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Greensborough</div><div><strong>Distance from Melbourne Connect:</strong> 18.11 km</div>,,,,-37.692278,145.118648,0,Greenhills Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Greensborough,No,18.11
902062,2,"130 Grimshaw Street, Greensborough, 3088",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Greensborough</div><div><strong>Distance from Melbourne Connect:</strong> 16.08 km</div>,,,,-37.703569,145.100496,0,Greensborough Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Greensborough,No,16.08
908750,2,"59 Nepean Street, Greensborough, 3088",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Secondary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Greensborough</div><div><strong>Distance from Melbourne Connect:</strong> 15.11 km</div>,,,,-37.708486,145.091251,0,Greensborough Secondary College,0,,1,0,Government,Secondary,North Eastern Melbourne,Greensborough,No,15.11
905500,2,"365 Harvest Home Road, Epping, 3076",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Epping</div><div><strong>Distance from Melbourne Connect:</strong> 20.07 km</div>,,,,-37.622078,145.00226,0,Harvest Home Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Epping,No,20.07
905552,2,"115 Eminence Blvd, Doreen, 3754",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Pri/Sec</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Doreen</div><div><strong>Distance from Melbourne Connect:</strong> 26.33 km</div>,,,,-37.597553,145.119368,0,Hazel Glen College,0,,1,0,Government,Pri/Sec,North Eastern Melbourne,Doreen,No,26.33
900294,2,"120 Cape Street, Heidelberg, 3084",<div><strong>Education sector:</strong> Government</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Heidelberg</div><div><strong>Distance from Melbourne Connect:</strong> 10.40 km</div>,,,,-37.754705,145.067799,0,Heidelberg Primary School,0,,1,0,Government,Primary,North Eastern Melbourne,Heidelberg,No,10.40
901438,2,"12 Robb Street, Preston East, 3073",<div><strong>Education sector:</strong> Catholic</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Preston East</div><div><strong>Distance from Melbourne Connect:</strong> 9.11 km</div>,,,,-37.730261,145.018574,0,Holy Name School,0,,1,0,Catholic,Primary,North Eastern Melbourne,Preston East,No,9.11
901516,2,"197 Clarendon Street, Thornbury East, 3071",<div><strong>Education sector:</strong> Catholic</div><div><strong>School type:</strong> Primary</div><div><strong>Area:</strong> North Eastern Melbourne</div><div><strong>Suburb:</strong> Thornbury East</div><div><strong>Distance from Melbourne Connect:</strong> 6.31 km</div>,,,,-37.760845,145.01619,0,Holy Spirit School,0,,1,0,Catholic,Primary,North Eastern Melbourne,Thornbury East,No,6.31
